"Link Channel","Like","Waktu","Link video","Komentar","Like"
"https://www.youtube.com/@retnod.setyarini5808","@retnod.setyarini5808","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgygvzL249yR7bxN8DR4AaABAg&pp=0gcJCSMANpG00pGi","pasukan berrmarga bangga banget sih tau film ketuaketua  dan komandannya dapat review bagus gini dari cinecrib","14"
"https://www.youtube.com/@wxputra1190","@wxputra1190","1 tahun yang lalu (diedit)","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugwvwrn_vRZQMiG1Tz54AaABAg","Kalau cine cribe sdh bilang bagus, berarti valid","51"
"https://www.youtube.com/@js0686","@js0686","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgxtswVjdreUAv2cOOR4AaABAg","Pasukan bermarga!!!!!! 
Ramekannnn.....","15"
"https://www.youtube.com/@OmArya2531","@OmArya2531","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzgYBHsnIyCpiFAAYx4AaABAg","Intinya, nih film berasa seperti franchise Goosebumps versi lokal. Karena ngga cuma isinya horor doang melainkan ada pesan dan hikmah yang bisa diambil dalam film ini termasuk tentang keluarga macam film Ngeri-ngeri Sedap tapi ada elemen horornya gitu. 

Dengan rating 8/10, Acho telah berhasil merilis film genre horor kedua dengan cukup signifikan sekaligus obat kekecewaan lah setelah Ghost Writer 2 yang formulanya terbilang B aja","107"
"https://www.youtube.com/@SultoArwano","@SultoArwano","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwaforNaKbwL_FaYTl4AaABAg","Oki gak nyangka sih, mantep bgt disini..","34"
"https://www.youtube.com/@RRAT24","@RRAT24","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzDNsxfdR4tPdkAI014AaABAg","dari kemarin gw tunggu vidio review cinecrib mau lihat kalo seberapa bagus  film agak laen dan ternyata beneran bagus rupanya
padahal di setiap promo,bene boris indra oki selalu bilang,kalo mau cari film bagus bukan di agak laen tapi kalo mau cari lucu nonton agak laen
lahh tapi ternyata LUCU DAN BAGUS ADA DI AGAK LAEN","39"
"https://www.youtube.com/@sastrashihab","@sastrashihab","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugxnz5mmmYYVv8JUYzh4AaABAg","Kemaren nonton dan seneng bgt studionya full house. Banyak ketawa, seru. Apalagi dari cinecrib dapet 8, pasti akan lebih banyak lagi yg mau nonton.","26"
"https://www.youtube.com/@widayantiarman","@widayantiarman","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugz8O4bUC5cUR1X5wvp4AaABAg","Sempet kecewa kok Sadana Agung, harusnya Dani Aditya tapi pas endingnya jadi lega...soale Dani Aditya gabisa manjat wkwkkw","23"
"https://www.youtube.com/@PetualangHidup1912","@PetualangHidup1912","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugwy9rd8BXbQSHpsi3J4AaABAg","KALAU ADA WAKTU LAGI, MAU NONTON UNTUK KE 2 KALI NYA, PECAH BANGET.  LUCU, DRAMA, HARU, ROMANCE, HOROR, PAKET KOMPLIT NI FILM","22"
"https://www.youtube.com/@diyanaislami","@diyanaislami","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgyYEcuZT3waQn4GYqh4AaABAg","Saya melihat dua abang ini ketawa, ikutan ketawa-ketawa sambil ngebayangin adegan-adegan film ""Agak Laen"". Puas banget nonton film itu, sak bioskop ngakak kabeh","10"
