ID Channel,Waktu,Komentar,genre,Like,cleaning,case_folding,hasil_normalisasi,tokenize,stopword_removal,stemming_data
0,1 tahun yang lalu,Bahagia bgt gw nonton ini. Ringan tp kocak gimana sih. Komedinya gak maksa juga. Paling ngakak pas mau mindahin mayat bau kopi. Matinya asam lambung. Trus arie kiting: oh GERD!!!,komedi,@rdwisani34,Bahagia bgt gw nonton ini Ringan tp kocak gimana sih Komedinya gak maksa juga Paling ngakak pas mau mindahin mayat bau kopi Matinya asam lambung Trus arie kiting oh GERD,bahagia bgt gw nonton ini ringan tp kocak gimana sih komedinya gak maksa juga paling ngakak pas mau mindahin mayat bau kopi matinya asam lambung trus arie kiting oh gerd,bahagia banget gue menonton ini ringan tapi kocak bagaimana sih komedinya tidak maksa juga paling mengakak pas mau mindahin mayat bau kopi matinya asam lambung terus arie kiting oh gerd,"['bahagia', 'banget', 'gue', 'menonton', 'ini', 'ringan', 'tapi', 'kocak', 'bagaimana', 'sih', 'komedinya', 'tidak', 'maksa', 'juga', 'paling', 'mengakak', 'pas', 'mau', 'mindahin', 'mayat', 'bau', 'kopi', 'matinya', 'asam', 'lambung', 'terus', 'arie', 'kiting', 'oh', 'gerd']","['bahagia', 'banget', 'gue', 'menonton', 'ringan', 'kocak', 'sih', 'komedinya', 'maksa', 'mengakak', 'pas', 'mindahin', 'mayat', 'bau', 'kopi', 'matinya', 'asam', 'lambung', 'arie', 'kiting', 'oh', 'gerd']",bahagia banget gue tonton ringan kocak sih komedi maksa akak pas mindahin mayat bau kopi mati asam lambung arie kiting oh gerd
0,1 tahun yang lalu,"Cuman pas bagian oki nangis tuh kaya kurang okii, menurut gua cuman pas akting drama sedih sii kerenn okii",komedi,@muhamadpandupratama9905,Cuman pas bagian oki nangis tuh kaya kurang okii menurut gua cuman pas akting drama sedih sii kerenn okii,cuman pas bagian oki nangis tuh kaya kurang okii menurut gua cuman pas akting drama sedih sii kerenn okii,cuman pas bagian oki menangis tuh kayak kurang okii menurut gua cuman pas akting drama sedih sih keren okii,"['cuman', 'pas', 'bagian', 'oki', 'menangis', 'tuh', 'kayak', 'kurang', 'okii', 'menurut', 'gua', 'cuman', 'pas', 'akting', 'drama', 'sedih', 'sih', 'keren', 'okii']","['cuman', 'pas', 'oki', 'menangis', 'tuh', 'kayak', 'okii', 'gua', 'cuman', 'pas', 'akting', 'drama', 'sedih', 'sih', 'keren', 'okii']",cuman pas oki menang tuh kayak okii gua cuman pas akting drama sedih sih keren okii
0,1 tahun yang lalu,"baru keluar nonton, penuh banget di bioskop tadi, keren!",komedi,@lahirbulanjuni,baru keluar nonton penuh banget di bioskop tadi keren,baru keluar nonton penuh banget di bioskop tadi keren,baru keluar menonton penuh banget di bioskop tadi keren,"['baru', 'keluar', 'menonton', 'penuh', 'banget', 'di', 'bioskop', 'tadi', 'keren']","['menonton', 'penuh', 'banget', 'bioskop', 'keren']",tonton penuh banget bioskop keren
0,1 tahun yang lalu,"Hari pertama.nonton lumayan rame walau belum penuh, td nonton balik .. bewwww... sdh di jam.ke3 masih rebutan kursi diantrian ..penuh ..standing aplause buat Oky yg aktingnya beneran ok, 8/10 buat agak laen , dan betul Acho makin.kesini makin ok buat jd sutradara",komedi,@satilas8461,Hari pertamanonton lumayan rame walau belum penuh td nonton balik  bewwww sdh di jamke masih rebutan kursi diantrian penuh standing aplause buat Oky yg aktingnya beneran ok  buat agak laen  dan betul Acho makinkesini makin ok buat jd sutradara,hari pertamanonton lumayan rame walau belum penuh td nonton balik  bewwww sdh di jamke masih rebutan kursi diantrian penuh standing aplause buat oky yg aktingnya beneran ok  buat agak laen  dan betul acho makinkesini makin ok buat jd sutradara,hari pertamanonton lumayan rame walau belum penuh tadi menonton balik bewwww sudah di jamke masih rebutan kursi diantrian penuh standing aplause buat oky yang aktingnya benaran ok buat agak lain dan betul acho makinkesini makin ok buat jadi sutradara,"['hari', 'pertamanonton', 'lumayan', 'rame', 'walau', 'belum', 'penuh', 'tadi', 'menonton', 'balik', 'bewwww', 'sudah', 'di', 'jamke', 'masih', 'rebutan', 'kursi', 'diantrian', 'penuh', 'standing', 'aplause', 'buat', 'oky', 'yang', 'aktingnya', 'benaran', 'ok', 'buat', 'agak', 'lain', 'dan', 'betul', 'acho', 'makinkesini', 'makin', 'ok', 'buat', 'jadi', 'sutradara']","['pertamanonton', 'lumayan', 'rame', 'penuh', 'menonton', 'bewwww', 'jamke', 'rebutan', 'kursi', 'diantrian', 'penuh', 'standing', 'aplause', 'oky', 'aktingnya', 'benaran', 'ok', 'acho', 'makinkesini', 'ok', 'sutradara']",pertamanonton lumayan rame penuh tonton bewwww jamke rebut kursi antri penuh standing aplause oky akting benar ok acho makinkesini ok sutradara
0,1 tahun yang lalu,yang paling gokil itu produk placementnya. gila ini seenak jidat masukin produk placement dan bikin kita ketawa,komedi,@iiosomnia,yang paling gokil itu produk placementnya gila ini seenak jidat masukin produk placement dan bikin kita ketawa,yang paling gokil itu produk placementnya gila ini seenak jidat masukin produk placement dan bikin kita ketawa,yang paling gila itu produk placementnya gila ini seenak jidat memasuki produk placement dan bikin kita ketawa,"['yang', 'paling', 'gila', 'itu', 'produk', 'placementnya', 'gila', 'ini', 'seenak', 'jidat', 'memasuki', 'produk', 'placement', 'dan', 'bikin', 'kita', 'ketawa']","['gila', 'produk', 'placementnya', 'gila', 'seenak', 'jidat', 'memasuki', 'produk', 'placement', 'bikin', 'ketawa']",gila produk placementnya gila enak jidat pasuk produk placement bikin ketawa
0,1 tahun yang lalu,"Suka.. ceritanya solid. Bagian terbaiknya adalah back sound nya yg detail banget dan pas di tiap adegan. Komedi nya fresh, tapi kayaknya kalau yg main gak banyak comica mungkin bakal lebih lucu lagi sih karena ga akan ketebak. Karena di mindset kalau comica pasti bakal lucu.. Sama setting latar film nya meski di pasar malem tapi kayak angle nya berasa itu lagi itu lagi.. kurang explore pedagang2 makanannya, mainan2nya.. 
Tapi overall yaaa baguuuslah, wajib tonton!",komedi,@familiproject9787,"Suka ceritanya solid Bagian terbaiknya adalah back sound nya yg detail banget dan pas di tiap adegan Komedi nya fresh tapi kayaknya kalau yg main gak banyak comica mungkin bakal lebih lucu lagi sih karena ga akan ketebak Karena di mindset kalau comica pasti bakal lucu Sama setting latar film nya meski di pasar malem tapi kayak angle nya berasa itu lagi itu lagi kurang explore pedagang makanannya mainannya 
Tapi overall yaaa baguuuslah wajib tonton","suka ceritanya solid bagian terbaiknya adalah back sound nya yg detail banget dan pas di tiap adegan komedi nya fresh tapi kayaknya kalau yg main gak banyak comica mungkin bakal lebih lucu lagi sih karena ga akan ketebak karena di mindset kalau comica pasti bakal lucu sama setting latar film nya meski di pasar malem tapi kayak angle nya berasa itu lagi itu lagi kurang explore pedagang makanannya mainannya 
tapi overall yaaa baguuuslah wajib tonton",suka ceritanya solid bagian terbaiknya adalah back sound ya yang detail banget dan pas di tiap adegan komedi ya fresh tapi kayaknya kalau yang main tidak banyak comica mungkin bakal lebih lucu lagi sih karena tidak akan ketebak karena di mindset kalau comica pasti bakal lucu sama setting latar film ya meski di pasar malam tapi kayak angle ya berasa itu lagi itu lagi kurang explore pedagang makanannya mainannya tapi overall ya baguuuslah wajib tonton,"['suka', 'ceritanya', 'solid', 'bagian', 'terbaiknya', 'adalah', 'back', 'sound', 'ya', 'yang', 'detail', 'banget', 'dan', 'pas', 'di', 'tiap', 'adegan', 'komedi', 'ya', 'fresh', 'tapi', 'kayaknya', 'kalau', 'yang', 'main', 'tidak', 'banyak', 'comica', 'mungkin', 'bakal', 'lebih', 'lucu', 'lagi', 'sih', 'karena', 'tidak', 'akan', 'ketebak', 'karena', 'di', 'mindset', 'kalau', 'comica', 'pasti', 'bakal', 'lucu', 'sama', 'setting', 'latar', 'film', 'ya', 'meski', 'di', 'pasar', 'malam', 'tapi', 'kayak', 'angle', 'ya', 'berasa', 'itu', 'lagi', 'itu', 'lagi', 'kurang', 'explore', 'pedagang', 'makanannya', 'mainannya', 'tapi', 'overall', 'ya', 'baguuuslah', 'wajib', 'tonton']","['suka', 'ceritanya', 'solid', 'terbaiknya', 'back', 'sound', 'ya', 'detail', 'banget', 'pas', 'adegan', 'komedi', 'ya', 'fresh', 'kayaknya', 'main', 'comica', 'lucu', 'sih', 'ketebak', 'mindset', 'comica', 'lucu', 'setting', 'latar', 'film', 'ya', 'pasar', 'malam', 'kayak', 'angle', 'ya', 'berasa', 'explore', 'pedagang', 'makanannya', 'mainannya', 'overall', 'ya', 'baguuuslah', 'wajib', 'tonton']",suka cerita solid baik back sound ya detail banget pas adegan komedi ya fresh kayak main comica lucu sih tebak mindset comica lucu setting latar film ya pasar malam kayak angle ya asa explore dagang makan main overall ya baguuuslah wajib tonton
0,1 tahun yang lalu,"Otw nnton dah, kmrn mau nnton hbs kereta berdarah udh full sisa paling depan aja kursinya.",komedi,@janari3482,Otw nnton dah kmrn mau nnton hbs kereta berdarah udh full sisa paling depan aja kursinya,otw nnton dah kmrn mau nnton hbs kereta berdarah udh full sisa paling depan aja kursinya,otw menonton sudah kemarin mau menonton habis kereta berdarah sudah full sisa paling depan saja kursinya,"['otw', 'menonton', 'sudah', 'kemarin', 'mau', 'menonton', 'habis', 'kereta', 'berdarah', 'sudah', 'full', 'sisa', 'paling', 'depan', 'saja', 'kursinya']","['otw', 'menonton', 'kemarin', 'menonton', 'habis', 'kereta', 'berdarah', 'full', 'sisa', 'kursinya']",otw tonton kemarin tonton habis kereta darah full sisa kursi
0,1 tahun yang lalu,Numpang komen. Skip dulu. Nunggu libur biar bisa nonton biar ga kena spoiler. Hahah,komedi,@nanna310,Numpang komen Skip dulu Nunggu libur biar bisa nonton biar ga kena spoiler Hahah,numpang komen skip dulu nunggu libur biar bisa nonton biar ga kena spoiler hahah,numpang komen skip dulu menunggu libur biar bisa menonton biar tidak kena spoiler hahah,"['numpang', 'komen', 'skip', 'dulu', 'menunggu', 'libur', 'biar', 'bisa', 'menonton', 'biar', 'tidak', 'kena', 'spoiler', 'hahah']","['numpang', 'komen', 'skip', 'menunggu', 'libur', 'biar', 'menonton', 'biar', 'kena', 'spoiler', 'hahah']",numpang komen skip tunggu libur biar tonton biar kena spoiler hahah
0,1 tahun yang lalu,"Sebagai penikmat konten agak lain, ikut bangga banget.",komedi,@nitanf8849,Sebagai penikmat konten agak lain ikut bangga banget,sebagai penikmat konten agak lain ikut bangga banget,sebagai penikmat konten agak lain ikut bangga banget,"['sebagai', 'penikmat', 'konten', 'agak', 'lain', 'ikut', 'bangga', 'banget']","['penikmat', 'konten', 'bangga', 'banget']",nikmat konten bangga banget
0,1 tahun yang lalu,"baru nonton reviu abang2 karna baru selesai nonton tadi, asli 8/10 dari aku. lucu bangeett, seru, melebihi ekspektasi aslk",komedi,@suekim3121,baru nonton reviu abang karna baru selesai nonton tadi asli  dari aku lucu bangeett seru melebihi ekspektasi aslk,baru nonton reviu abang karna baru selesai nonton tadi asli  dari aku lucu bangeett seru melebihi ekspektasi aslk,baru menonton reviu abang karena baru selesai menonton tadi asli dari aku lucu banget seru melebihi ekspektasi aslk,"['baru', 'menonton', 'reviu', 'abang', 'karena', 'baru', 'selesai', 'menonton', 'tadi', 'asli', 'dari', 'aku', 'lucu', 'banget', 'seru', 'melebihi', 'ekspektasi', 'aslk']","['menonton', 'reviu', 'abang', 'selesai', 'menonton', 'asli', 'lucu', 'banget', 'seru', 'melebihi', 'ekspektasi', 'aslk']",tonton reviu abang selesai tonton asli lucu banget seru lebih ekspektasi aslk
0,1 tahun yang lalu,Film yg set up and punchline di dialognya rapat. Kocak ga ada obat. Keluar bioskop masih pengen terkekeh2,komedi,@ludibachtiar8772,Film yg set up and punchline di dialognya rapat Kocak ga ada obat Keluar bioskop masih pengen terkekeh,film yg set up and punchline di dialognya rapat kocak ga ada obat keluar bioskop masih pengen terkekeh,film yang set up and punchline di dialognya rapat kocak tidak ada obat keluar bioskop masih pengin terkekeh,"['film', 'yang', 'set', 'up', 'and', 'punchline', 'di', 'dialognya', 'rapat', 'kocak', 'tidak', 'ada', 'obat', 'keluar', 'bioskop', 'masih', 'pengin', 'terkekeh']","['film', 'set', 'up', 'and', 'punchline', 'dialognya', 'rapat', 'kocak', 'obat', 'bioskop', 'pengin', 'terkekeh']",film set up and punchline dialog rapat kocak obat bioskop pengin kekeh
